"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
514.325256,2.025097,514.325256,0,0,,
515.914,2.024766,515.914,0,0,,
517.502747,2.024439,517.502747,0,0,,
519.091431,2.024115,519.091431,0,0,,
520.6801,2.023794,520.6801,0,0,,
522.2688,2.023476,522.2688,0,0,,
523.857361,2.023162,523.857361,0,0,,
525.4459,2.022851,525.4459,0,0,,
527.0345,2.022543,527.0345,0,0,,
528.623,2.022239,528.623,0,0,,
530.2114,2.021937,530.2114,0,0,,
531.799866,2.021638,531.799866,0,0,,
533.388245,2.021343,533.388245,0,0,,
534.976563,2.02105,534.976563,0,0,,
536.5648,2.020761,536.5648,0,0,,
538.153137,2.020474,538.153137,0,0,,
539.741333,2.02019,539.741333,0,0,,
541.329468,2.019909,541.329468,0,0,,
542.9176,2.01963,542.9176,0,0,,
544.505737,2.019355,544.505737,0,0,,
546.09375,2.019082,546.09375,0,0,,
547.681763,2.018811,547.681763,0,0,,
549.269653,2.018544,549.269653,0,0,,
550.857544,2.018279,550.857544,0,0,,
552.445435,2.018016,552.445435,0,0,,
554.033264,2.017756,554.033264,0,0,,
555.621,2.017499,555.621,0,0,,
557.20874,2.017244,557.20874,0,0,,
558.7964,2.016991,558.7964,0,0,,
560.384033,2.016741,560.384033,0,0,,
561.971558,2.016493,561.971558,0,0,,
563.5591,2.016247,563.5591,0,0,,
565.1466,2.016004,565.1466,0,0,,
566.734,2.015763,566.734,0,0,,
568.32135,2.015524,568.32135,0,0,,
569.9086,2.015288,569.9086,0,0,,
571.4959,2.015053,571.4959,0,0,,
573.0831,2.014821,573.0831,0,0,,
574.6703,2.014591,574.6703,0,0,,
576.2573,2.014363,576.2573,0,0,,
577.84436,2.014137,577.84436,0,0,,
579.431335,2.013913,579.431335,0,0,,
581.0183,2.013691,581.0183,0,0,,
582.605164,2.013472,582.605164,0,0,,
584.192,2.013254,584.192,0,0,,
585.7787,2.013038,585.7787,0,0,,
587.3654,2.012824,587.3654,0,0,,
588.952,2.012612,588.952,0,0,,
590.538635,2.012402,590.538635,0,0,,
592.1251,2.012193,592.1251,0,0,,
593.7116,2.011987,593.7116,0,0,,
595.298,2.011782,595.298,0,0,,
596.884338,2.01158,596.884338,0,0,,
598.4706,2.011378,598.4706,0,0,,
600.056763,2.011179,600.056763,0,0,,
601.642944,2.010981,601.642944,0,0,,
603.229,2.010786,603.229,0,0,,
604.815063,2.010591,604.815063,0,0,,
606.401,2.010399,606.401,0,0,,
607.9869,2.010208,607.9869,0,0,,
609.572632,2.010019,609.572632,0,0,,
611.158447,2.009831,611.158447,0,0,,
612.7441,2.009645,612.7441,0,0,,
614.3297,2.00946,614.3297,0,0,,
615.9153,2.009278,615.9153,0,0,,
617.500732,2.009096,617.500732,0,0,,
619.0861,2.008916,619.0861,0,0,,
620.6715,2.008738,620.6715,0,0,,
622.2567,2.008561,622.2567,0,0,,
623.8419,2.008386,623.8419,0,0,,
625.427063,2.008212,625.427063,0,0,,
627.0121,2.008039,627.0121,0,0,,
628.597046,2.007868,628.597046,0,0,,
630.181946,2.007699,630.181946,0,0,,
631.7668,2.00753,631.7668,0,0,,
633.3515,2.007363,633.3515,0,0,,
634.936157,2.007198,634.936157,0,0,,
636.5208,2.007034,636.5208,0,0,,
638.105347,2.006871,638.105347,0,0,,
639.689758,2.006709,639.689758,0,0,,
641.2741,2.006549,641.2741,0,0,,
642.858459,2.00639,642.858459,0,0,,
644.4426,2.006232,644.4426,0,0,,
646.026733,2.006076,646.026733,0,0,,
647.6108,2.005921,647.6108,0,0,,
649.194763,2.005767,649.194763,0,0,,
650.7787,2.005614,650.7787,0,0,,
652.3625,2.005463,652.3625,0,0,,
653.946167,2.005312,653.946167,0,0,,
655.529846,2.005163,655.529846,0,0,,
657.1134,2.005015,657.1134,0,0,,
658.6969,2.004868,658.6969,0,0,,
660.2803,2.004723,660.2803,0,0,,
661.8636,2.004578,661.8636,0,0,,
663.4468,2.004435,663.4468,0,0,,
665.0299,2.004292,665.0299,0,0,,
666.613,2.004151,666.613,0,0,,
668.1959,2.004011,668.1959,0,0,,
669.7788,2.003872,669.7788,0,0,,
671.3616,2.003734,671.3616,0,0,,
672.9443,2.003597,672.9443,0,0,,
674.5269,2.003461,674.5269,0,0,,
676.1094,2.003326,676.1094,0,0,,
677.691833,2.003192,677.691833,0,0,,
679.2742,2.003059,679.2742,0,0,,
680.8564,2.002928,680.8564,0,0,,
682.438538,2.002797,682.438538,0,0,,
684.0206,2.002667,684.0206,0,0,,
685.6026,2.002538,685.6026,0,0,,
687.184448,2.00241,687.184448,0,0,,
688.766235,2.002283,688.766235,0,0,,
690.3479,2.002157,690.3479,0,0,,
691.9295,2.002032,691.9295,0,0,,
693.5109,2.001908,693.5109,0,0,,
695.092346,2.001784,695.092346,0,0,,
696.673645,2.001662,696.673645,0,0,,
698.2548,2.00154,698.2548,0,0,,
699.835938,2.00142,699.835938,0,0,,
701.416931,2.0013,701.416931,0,0,,
702.997864,2.001181,702.997864,0,0,,
704.5786,2.001063,704.5786,0,0,,
706.1593,2.000946,706.1593,0,0,,
707.7399,2.000829,707.7399,0,0,,
709.320435,2.000714,709.320435,0,0,,
710.900757,2.000599,710.900757,0,0,,
712.4811,2.000486,712.4811,0,0,,
714.0613,2.000373,714.0613,0,0,,
715.641357,2.00026,715.641357,0,0,,
717.2213,2.000149,717.2213,0,0,,
718.8012,2.000038,718.8012,0,0,,
720.381,1.999928,720.381,0,0,,
721.960632,1.999819,721.960632,0,0,,
723.540161,1.999711,723.540161,0,0,,
725.1196,1.999603,725.1196,0,0,,
726.699,1.999497,726.699,0,0,,
728.2782,1.99939,728.2782,0,0,,
729.8573,1.999285,729.8573,0,0,,
731.43634,1.999181,731.43634,0,0,,
733.015259,1.999077,733.015259,0,0,,
734.594,1.998974,734.594,0,0,,
736.1727,1.998871,736.1727,0,0,,
737.7513,1.998769,737.7513,0,0,,
739.3297,1.998668,739.3297,0,0,,
740.9081,1.998568,740.9081,0,0,,
742.486267,1.998468,742.486267,0,0,,
744.0644,1.998369,744.0644,0,0,,
745.6424,1.998271,745.6424,0,0,,
747.2203,1.998173,747.2203,0,0,,
748.798035,1.998076,748.798035,0,0,,
750.3757,1.99798,750.3757,0,0,,
751.953247,1.997884,751.953247,0,0,,
753.53064,1.997789,753.53064,0,0,,
755.108,1.997695,755.108,0,0,,
756.6851,1.997601,756.6851,0,0,,
758.262146,1.997508,758.262146,0,0,,
759.8391,1.997415,759.8391,0,0,,
761.4159,1.997323,761.4159,0,0,,
762.9926,1.997232,762.9926,0,0,,
764.5692,1.997141,764.5692,0,0,,
766.1456,1.997051,766.1456,0,0,,
767.722046,1.996962,767.722046,0,0,,
769.2982,1.996873,769.2982,0,0,,
770.8743,1.996784,770.8743,0,0,,
772.450256,1.996696,772.450256,0,0,,
774.0261,1.996609,774.0261,0,0,,
775.6018,1.996523,775.6018,0,0,,
777.177368,1.996437,777.177368,0,0,,
778.752869,1.996351,778.752869,0,0,,
780.3282,1.996266,780.3282,0,0,,
781.903442,1.996182,781.903442,0,0,,
783.478455,1.996098,783.478455,0,0,,
785.0534,1.996014,785.0534,0,0,,
786.628235,1.995932,786.628235,0,0,,
788.202942,1.995849,788.202942,0,0,,
789.777466,1.995767,789.777466,0,0,,
791.3519,1.995686,791.3519,0,0,,
792.9262,1.995605,792.9262,0,0,,
794.500366,1.995525,794.500366,0,0,,
796.0744,1.995445,796.0744,0,0,,
797.6483,1.995366,797.6483,0,0,,
799.222046,1.995288,799.222046,0,0,,
800.7957,1.995209,800.7957,0,0,,
802.3692,1.995132,802.3692,0,0,,
803.942566,1.995054,803.942566,0,0,,
805.515747,1.994978,805.515747,0,0,,
807.088867,1.994901,807.088867,0,0,,
808.6618,1.994825,808.6618,0,0,,
810.2346,1.99475,810.2346,0,0,,
811.8073,1.994675,811.8073,0,0,,
813.3798,1.994601,813.3798,0,0,,
814.9523,1.994527,814.9523,0,0,,
816.524536,1.994453,816.524536,0,0,,
818.0966,1.99438,818.0966,0,0,,
819.6686,1.994308,819.6686,0,0,,
821.2404,1.994236,821.2404,0,0,,
822.812134,1.994164,822.812134,0,0,,
824.383667,1.994093,824.383667,0,0,,
825.9551,1.994022,825.9551,0,0,,
827.526367,1.993951,827.526367,0,0,,
829.0975,1.993881,829.0975,0,0,,
830.668457,1.993812,830.668457,0,0,,
832.239258,1.993742,832.239258,0,0,,
833.809937,1.993674,833.809937,0,0,,
835.3805,1.993605,835.3805,0,0,,
836.950867,1.993537,836.950867,0,0,,
838.5211,1.99347,838.5211,0,0,,
840.0912,1.993403,840.0912,0,0,,
841.661133,1.993336,841.661133,0,0,,
843.230957,1.99327,843.230957,0,0,,
844.8006,1.993204,844.8006,0,0,,
846.37,1.993138,846.37,0,0,,
847.939331,1.993073,847.939331,0,0,,
849.5086,1.993008,849.5086,0,0,,
851.077637,1.992944,851.077637,0,0,,
852.6465,1.99288,852.6465,0,0,,
854.2152,1.992816,854.2152,0,0,,
855.7838,1.992753,855.7838,0,0,,
857.352234,1.99269,857.352234,0,0,,
858.920532,1.992628,858.920532,0,0,,
860.4886,1.992565,860.4886,0,0,,
862.0565,1.992504,862.0565,0,0,,
863.6244,1.992442,863.6244,0,0,,
865.192,1.992381,865.192,0,0,,
866.75946,1.99232,866.75946,0,0,,
868.326843,1.99226,868.326843,0,0,,
869.8939,1.9922,869.8939,0,0,,
871.46106,1.99214,871.46106,0,0,,
873.027832,1.992081,873.027832,0,0,,
874.594543,1.992022,874.594543,0,0,,
876.161,1.991963,876.161,0,0,,
877.7274,1.991904,877.7274,0,0,,
879.29364,1.991846,879.29364,0,0,,
880.8597,1.991789,880.8597,0,0,,
882.4255,1.991731,882.4255,0,0,,
883.9912,1.991674,883.9912,0,0,,
885.5568,1.991617,885.5568,0,0,,
887.1222,1.991561,887.1222,0,0,,
888.6874,1.991505,888.6874,0,0,,
890.252441,1.991449,890.252441,0,0,,
891.817261,1.991394,891.817261,0,0,,
893.382,1.991338,893.382,0,0,,
894.9466,1.991284,894.9466,0,0,,
896.5109,1.991229,896.5109,0,0,,
898.0752,1.991175,898.0752,0,0,,
899.6393,1.991121,899.6393,0,0,,
901.2031,1.991067,901.2031,0,0,,
902.7668,1.991014,902.7668,0,0,,
